OID_,OBJECTID,UTMX,UTMY,LongitudeI,LatitudeI
2513,2514,658151.8958,4768662.728,-79.058,43.054184
23919,23920,658398.6745,4768663.694,-79.054971,43.054141
7664,7665,658426.6468,4768665.064,-79.054627,43.054147
15436,15437,658306.6502,4768667.454,-79.056099,43.054194
19096,19097,658238.5042,4768671.44,-79.056935,43.054244
12475,12476,658258.0967,4768674.961,-79.056693,43.054272
2437,2438,658165.2213,4768676.133,-79.057833,43.054301
3996,3997,658269.5039,4768681.477,-79.056551,43.054328
320,321,658442.6147,4768682.577,-79.054427,43.054302
23017,23018,658729.6653,4768686.328,-79.050903,43.054275
12173,12174,658447.4663,4768687.269,-79.054366,43.054343
15735,15736,658452.3885,4768691.721,-79.054304,43.054382
19187,19188,658455.8141,4768696.231,-79.054261,43.054422
8118,8119,658459.9802,4768700.003,-79.054208,43.054455
20994,20995,658744.9362,4768702.429,-79.050711,43.054417
1311,1312,658754.9455,4768712.982,-79.050585,43.05451
13742,13743,658272.8449,4768713.847,-79.056501,43.054618
6520,6521,658270.5782,4768714.98,-79.056529,43.054629
15020,15021,658200.1007,4768715.196,-79.057393,43.054646
10085,10086,658275.2507,4768717.203,-79.056471,43.054648
6611,6612,658476.2882,4768718.424,-79.054003,43.054617
20673,20674,658305.1118,4768720.371,-79.056103,43.05467
9478,9479,658766.3643,4768724.251,-79.050441,43.054609
24196,24197,659094.0933,4768724.424,-79.046419,43.054542
3272,3273,658256.7069,4768728.18,-79.056695,43.054751
24776,24777,658793.6236,4768729.737,-79.050105,43.054653
25599,25600,658234.7813,4768732.058,-79.056963,43.05479
13398,13399,658805.2566,4768733.419,-79.049962,43.054683
4459,4460,658218.6186,4768735.197,-79.057161,43.054822
22877,22878,658828.9453,4768737.251,-79.04967,43.054713
10670,10671,658850.5873,4768740.081,-79.049403,43.054734
9987,9988,658224.3606,4768741.106,-79.057088,43.054874
8374,8375,658237.7797,4768747.418,-79.056922,43.054928
9860,9861,658302.9379,4768748.018,-79.056122,43.05492
20186,20187,658931.5919,4768754.496,-79.048405,43.054847
24085,24086,658946.9533,4768757.776,-79.048216,43.054873
18528,18529,658982.7636,4768763.522,-79.047775,43.054917
89,90,658489.0724,4768766.246,-79.053833,43.055045
18923,18924,658484.5428,4768769.497,-79.053887,43.055075
18032,18033,658480.4406,4768772.623,-79.053937,43.055104
17156,17157,659032.8383,4768773.001,-79.047157,43.054992
21857,21858,658957.754,4768775.794,-79.048078,43.055033
20263,20264,658477.9987,4768775.944,-79.053966,43.055134
18462,18463,658527.0385,4768776.965,-79.053364,43.055133
24407,24408,658906.1232,4768777.204,-79.048711,43.055056
23562,23563,659059.1436,4768777.658,-79.046833,43.055028
18147,18148,658972.9731,4768778.352,-79.04789,43.055053
1719,1720,658352.6193,4768779.798,-79.055503,43.055195
17669,17670,659076.3569,4768780.969,-79.046621,43.055055
11456,11457,658360.6855,4768788.057,-79.055402,43.055268
10174,10175,658903.1212,4768796.161,-79.048743,43.055228
23533,23534,658889.0053,4768799.91,-79.048915,43.055264
17594,17595,658260.2293,4768799.984,-79.056631,43.055396
23114,23115,658283.7969,4768808.452,-79.05634,43.055468
20441,20442,658896.5294,4768811.398,-79.048819,43.055366
24028,24029,658555.5432,4768811.477,-79.053004,43.055438
22826,22827,658877.299,4768816.442,-79.049054,43.055416
10759,10760,658887.871,4768822.942,-79.048922,43.055472
16008,16009,658864.373,4768828.914,-79.049209,43.05553
2969,2970,658873.742,4768838.119,-79.049091,43.055611
7954,7955,658847.441,4768847.451,-79.049411,43.055701
18664,18665,658863.4001,4768847.932,-79.049215,43.055702
16051,16052,658400.0369,4768851.148,-79.054901,43.055828
6473,6474,658430.7821,4768860.74,-79.054521,43.055907
5510,5511,658832.1445,4768863.902,-79.049594,43.055852
16949,16950,658845.2292,4768866.478,-79.049433,43.055873
3990,3991,658833.445,4768879.221,-79.049574,43.05599
23169,23170,658813.788,4768881.279,-79.049815,43.056012
23896,23897,658821.9256,4768892.695,-79.049712,43.056113
19072,19073,658799.701,4768895.996,-79.049983,43.056148
14022,14023,658365.847,4768899.291,-79.055307,43.056268
12525,12526,658465.9836,4768899.637,-79.054078,43.05625
271,272,658470.9798,4768904.516,-79.054015,43.056293
2898,2899,658807.5619,4768905.615,-79.049884,43.056233
3008,3009,658786.5314,4768906.047,-79.050142,43.056241
8827,8828,658375.4127,4768910.934,-79.055186,43.056371
